key unixtime vddd_voltage vddd_current vdda_voltage vdda_current
2019-06-24_20:59:43 1561377583 73 83 0 0
2019-06-24_20:59:53 1561377593 74 84 0 0
2019-06-24_21:00:03 1561377603 75 85 0 0
2019-06-24_21:00:13 1561377613 76 86 0 0
2019-06-24_21:00:23 1561377623 77 87 0 0
2019-06-24_21:00:33 1561377633 78 88 0 0
2019-06-24_21:00:43 1561377643 79 89 0 0
2019-06-24_21:00:53 1561377653 80 90 0 0
2019-06-24_21:01:03 1561377663 81 91 0 0
2019-06-24_21:01:13 1561377673 82 92 0 0
2019-06-24_21:01:23 1561377683 83 93 0 0
2019-06-24_21:01:33 1561377693 84 94 0 0
2019-06-24_21:01:43 1561377703 85 95 0 0
2019-06-24_21:01:53 1561377713 86 96 0 0
2019-06-24_21:02:03 1561377723 87 97 0 0
2019-06-24_21:02:13 1561377733 88 98 0 0
2019-06-24_21:02:23 1561377743 89 99 0 0
2019-06-24_21:02:33 1561377753 90 100 0 0
2019-06-24_21:02:43 1561377763 91 101 0 0
2019-06-24_21:02:53 1561377773 92 102 0 0
2019-06-24_21:03:03 1561377783 93 103 0 0
2019-06-24_21:03:13 1561377793 94 104 0 0
2019-06-24_21:03:23 1561377803 95 105 0 0
2019-06-24_21:03:33 1561377813 96 106 0 0
2019-06-24_21:03:43 1561377823 97 107 0 0
2019-06-24_21:03:53 1561377833 98 108 0 0
2019-06-24_21:04:03 1561377843 99 109 0 0
2019-06-24_21:04:13 1561377853 100 110 0 0
2019-06-24_21:04:23 1561377863 101 111 0 0
2019-06-24_21:04:33 1561377873 102 112 0 0
2019-06-24_21:04:43 1561377883 103 113 0 0
2019-06-24_21:04:53 1561377893 104 114 0 0
2019-06-24_21:05:03 1561377903 105 115 0 0
2019-06-24_21:05:13 1561377913 106 116 0 0
2019-06-24_21:05:23 1561377923 107 117 0 0
2019-06-24_21:05:33 1561377933 108 118 0 0
2019-06-24_21:05:43 1561377943 109 119 0 0
2019-06-24_21:05:53 1561377953 110 120 0 0
2019-06-24_21:06:03 1561377963 111 121 0 0
2019-06-24_21:06:13 1561377973 112 122 0 0
2019-06-24_21:06:23 1561377983 113 123 0 0
2019-06-24_21:06:33 1561377993 114 124 0 0
2019-06-24_21:06:43 1561378003 115 125 0 0
2019-06-24_21:06:53 1561378013 116 126 0 0
2019-06-24_21:07:03 1561378023 117 127 0 0
2019-06-24_21:07:13 1561378033 118 128 0 0
2019-06-24_21:07:23 1561378043 119 129 0 0
2019-06-24_21:07:33 1561378053 120 130 0 0
2019-06-24_21:07:43 1561378063 121 131 0 0
2019-06-24_21:07:53 1561378073 122 132 0 0
2019-06-24_21:08:03 1561378083 123 133 0 0
2019-06-24_21:08:13 1561378093 124 134 0 0
2019-06-24_21:08:23 1561378103 125 135 0 0
2019-06-24_21:08:33 1561378113 126 136 0 0
2019-06-24_21:08:43 1561378123 127 137 0 0
2019-06-24_21:08:53 1561378133 128 138 0 0
2019-06-24_21:09:03 1561378143 129 139 0 0
2019-06-24_21:09:13 1561378153 130 140 0 0
2019-06-24_21:09:23 1561378163 131 141 0 0
2019-06-24_21:09:33 1561378173 132 142 0 0
2019-06-24_21:09:43 1561378183 133 143 0 0
2019-06-24_21:09:53 1561378193 134 144 0 0
2019-06-24_21:10:03 1561378203 135 145 0 0
2019-06-24_21:10:13 1561378213 136 146 0 0
2019-06-24_21:10:23 1561378223 137 147 0 0
2019-06-24_21:10:33 1561378233 138 148 0 0
2019-06-24_21:10:43 1561378243 139 149 0 0
2019-06-24_21:10:53 1561378253 140 150 0 0
2019-06-24_21:11:03 1561378263 141 151 0 0
2019-06-24_21:11:13 1561378273 142 152 0 0
2019-06-24_21:11:23 1561378283 143 153 0 0
2019-06-24_21:11:33 1561378293 144 154 0 0
2019-06-24_21:11:43 1561378303 145 155 0 0
2019-06-24_21:11:53 1561378313 146 156 0 0
2019-06-24_21:12:03 1561378323 147 157 0 0
2019-06-24_21:12:13 1561378333 148 158 0 0
2019-06-24_21:12:23 1561378343 149 159 0 0
2019-06-24_21:12:33 1561378353 150 160 0 0
2019-06-24_21:12:43 1561378363 151 161 0 0
2019-06-24_21:12:53 1561378373 152 162 0 0
2019-06-24_21:13:03 1561378383 153 163 0 0
2019-06-24_21:13:13 1561378393 154 164 0 0
2019-06-24_21:13:23 1561378403 155 165 0 0
2019-06-24_21:13:33 1561378413 156 166 0 0
2019-06-24_21:13:43 1561378423 157 167 0 0
2019-06-24_21:13:53 1561378433 158 168 0 0
2019-06-24_21:14:03 1561378443 159 169 0 0
2019-06-24_21:14:13 1561378453 160 170 0 0
2019-06-24_21:14:23 1561378463 161 171 0 0
2019-06-24_21:14:33 1561378473 162 172 0 0
2019-06-24_21:14:43 1561378483 163 173 0 0
2019-06-24_21:14:53 1561378493 164 174 0 0
2019-06-24_21:15:03 1561378503 165 175 0 0
2019-06-24_21:15:13 1561378513 166 176 0 0
2019-06-24_21:15:23 1561378523 167 177 0 0
2019-06-24_21:15:33 1561378533 168 178 0 0
2019-06-24_21:15:43 1561378543 169 179 0 0
2019-06-24_21:15:53 1561378553 170 180 0 0
2019-06-24_21:16:03 1561378563 171 181 0 0
2019-06-24_21:16:13 1561378573 172 182 0 0
2019-06-24_21:16:23 1561378583 173 183 0 0
2019-06-24_21:16:33 1561378593 174 184 0 0
2019-06-24_21:16:43 1561378603 175 185 0 0
2019-06-24_21:16:53 1561378613 176 186 0 0
2019-06-24_21:17:03 1561378623 177 187 0 0
2019-06-24_21:17:13 1561378633 178 188 0 0
2019-06-24_21:17:23 1561378643 179 189 0 0
2019-06-24_21:17:33 1561378653 180 190 0 0
2019-06-24_21:17:43 1561378663 181 191 0 0
2019-06-24_21:17:53 1561378673 182 192 0 0
2019-06-24_21:18:03 1561378683 183 193 0 0
2019-06-24_21:18:13 1561378693 184 194 0 0
2019-06-24_21:18:23 1561378703 185 195 0 0
2019-06-24_21:18:33 1561378713 186 196 0 0
2019-06-24_21:18:43 1561378723 187 197 0 0
2019-06-24_21:18:53 1561378733 188 198 0 0
2019-06-24_21:19:03 1561378743 189 199 0 0
2019-06-24_21:19:13 1561378753 190 200 0 0
2019-06-24_21:19:23 1561378763 191 201 0 0
2019-06-24_21:19:33 1561378773 192 202 0 0
2019-06-24_21:19:43 1561378783 193 203 0 0
2019-06-24_21:19:53 1561378793 194 204 0 0
2019-06-24_21:20:03 1561378803 195 205 0 0
2019-06-24_21:20:13 1561378813 196 206 0 0
2019-06-24_21:20:23 1561378823 197 207 0 0
2019-06-24_21:20:33 1561378833 198 208 0 0
2019-06-24_21:20:43 1561378843 199 209 0 0
2019-06-24_21:20:53 1561378853 200 210 0 0
2019-06-24_21:21:03 1561378863 201 211 0 0
2019-06-24_21:21:13 1561378873 202 212 0 0
2019-06-24_21:21:23 1561378883 203 213 0 0
2019-06-24_21:21:33 1561378893 204 214 0 0
2019-06-24_21:21:43 1561378903 205 215 0 0
2019-06-24_21:21:53 1561378913 206 216 0 0
2019-06-24_21:22:03 1561378923 207 217 0 0
2019-06-24_21:22:13 1561378933 208 218 0 0
2019-06-24_21:22:23 1561378943 209 219 0 0
2019-06-24_21:22:33 1561378953 210 220 0 0
2019-06-24_21:22:43 1561378963 211 221 0 0
2019-06-24_21:22:53 1561378973 212 222 0 0
2019-06-24_21:23:03 1561378983 213 223 0 0
2019-06-24_21:23:13 1561378993 214 224 0 0
2019-06-24_21:23:23 1561379003 215 225 0 0
2019-06-24_21:23:33 1561379013 216 226 0 0
2019-06-24_21:23:43 1561379023 217 227 0 0
2019-06-24_21:23:53 1561379033 218 228 0 0
2019-06-24_21:24:03 1561379043 219 229 0 0
2019-06-24_21:24:13 1561379053 220 230 0 0
2019-06-24_21:24:23 1561379063 221 231 0 0
2019-06-24_21:24:33 1561379073 222 232 0 0
2019-06-24_21:24:43 1561379083 223 233 0 0
2019-06-24_21:24:53 1561379093 224 234 0 0
2019-06-24_21:25:03 1561379103 225 235 0 0
2019-06-24_21:25:13 1561379113 226 236 0 0
2019-06-24_21:25:23 1561379123 227 237 0 0
2019-06-24_21:25:33 1561379133 228 238 0 0
2019-06-24_21:25:43 1561379143 229 239 0 0
2019-06-24_21:25:53 1561379153 230 240 0 0
2019-06-24_21:26:03 1561379163 231 241 0 0
2019-06-24_21:26:13 1561379173 232 242 0 0
2019-06-24_21:26:23 1561379183 233 243 0 0
2019-06-24_21:26:33 1561379193 234 244 0 0
2019-06-24_21:26:43 1561379203 235 245 0 0
2019-06-24_21:26:53 1561379213 236 246 0 0
2019-06-24_21:27:03 1561379223 237 247 0 0
2019-06-24_21:27:13 1561379233 238 248 0 0
2019-06-24_21:27:23 1561379243 239 249 0 0
2019-06-24_21:27:33 1561379253 240 250 0 0
2019-06-24_21:27:43 1561379263 241 251 0 0
2019-06-24_21:27:53 1561379273 242 252 0 0
2019-06-24_21:28:03 1561379283 243 253 0 0
2019-06-24_21:28:13 1561379293 244 254 0 0
2019-06-24_21:28:23 1561379303 245 255 0 0
2019-06-24_21:28:33 1561379313 246 256 0 0
2019-06-24_21:28:43 1561379323 247 257 0 0
2019-06-24_21:28:53 1561379333 248 258 0 0
2019-06-24_21:29:03 1561379343 249 259 0 0
2019-06-24_21:29:13 1561379353 250 260 0 0
2019-06-24_21:29:23 1561379363 251 261 0 0
2019-06-24_21:29:33 1561379373 252 262 0 0
2019-06-24_21:29:43 1561379383 253 263 0 0
2019-06-24_21:29:53 1561379393 254 264 0 0
2019-06-24_21:30:03 1561379403 255 265 0 0
2019-06-24_21:30:13 1561379413 256 266 0 0
2019-06-24_21:30:23 1561379423 257 267 0 0
2019-06-24_21:30:33 1561379433 258 268 0 0
2019-06-24_21:30:43 1561379443 259 269 0 0
2019-06-24_21:30:53 1561379453 260 270 0 0
2019-06-24_21:31:03 1561379463 261 271 0 0
2019-06-24_21:31:13 1561379473 262 272 0 0
2019-06-24_21:31:23 1561379483 263 273 0 0
2019-06-24_21:31:33 1561379493 264 274 0 0
2019-06-24_21:31:43 1561379503 265 275 0 0
2019-06-24_21:31:53 1561379513 266 276 0 0
2019-06-24_21:32:03 1561379523 267 277 0 0
2019-06-24_21:32:13 1561379533 268 278 0 0
2019-06-24_21:32:23 1561379543 269 279 0 0
2019-06-24_21:32:33 1561379553 270 280 0 0
2019-06-24_21:32:43 1561379563 271 281 0 0
2019-06-24_21:32:53 1561379573 272 282 0 0
2019-06-24_21:33:03 1561379583 273 283 0 0
2019-06-24_21:33:13 1561379593 274 284 0 0
2019-06-24_21:33:23 1561379603 275 285 0 0
2019-06-24_21:33:33 1561379613 276 286 0 0
2019-06-24_21:33:43 1561379623 277 287 0 0
2019-06-24_21:33:53 1561379633 278 288 0 0
2019-06-24_21:34:03 1561379643 279 289 0 0
2019-06-24_21:34:13 1561379653 280 290 0 0
2019-06-24_21:34:23 1561379663 281 291 0 0
2019-06-24_21:34:33 1561379673 282 292 0 0
2019-06-24_21:34:43 1561379683 283 293 0 0
2019-06-24_21:34:53 1561379693 284 294 0 0
2019-06-24_21:35:03 1561379703 285 295 0 0
2019-06-24_21:35:13 1561379713 286 296 0 0
2019-06-24_21:35:23 1561379723 287 297 0 0
2019-06-24_21:35:33 1561379733 288 298 0 0
2019-06-24_21:35:43 1561379743 289 299 0 0
2019-06-24_21:35:53 1561379753 290 300 0 0
2019-06-24_21:36:03 1561379763 291 301 0 0
2019-06-24_21:36:13 1561379773 292 302 0 0
2019-06-24_21:36:23 1561379783 293 303 0 0
2019-06-24_21:36:33 1561379793 294 304 0 0
2019-06-24_21:36:43 1561379803 295 305 0 0
2019-06-24_21:36:53 1561379813 296 306 0 0
2019-06-24_21:37:03 1561379823 297 307 0 0
2019-06-24_21:37:13 1561379833 298 308 0 0
2019-06-24_21:37:23 1561379843 299 309 0 0
2019-06-24_21:37:33 1561379853 300 310 0 0
2019-06-24_21:37:43 1561379863 301 311 0 0
2019-06-24_21:37:53 1561379873 302 312 0 0
2019-06-24_21:38:03 1561379883 303 313 0 0
2019-06-24_21:38:13 1561379893 304 314 0 0
2019-06-24_21:38:23 1561379903 305 315 0 0
2019-06-24_21:38:33 1561379913 306 316 0 0
2019-06-24_21:38:43 1561379923 307 317 0 0
2019-06-24_21:38:53 1561379933 308 318 0 0
2019-06-24_21:39:03 1561379943 309 319 0 0
2019-06-24_21:39:13 1561379953 310 320 0 0
2019-06-24_21:39:23 1561379963 311 321 0 0
2019-06-24_21:39:33 1561379973 312 322 0 0
2019-06-24_21:39:43 1561379983 313 323 0 0
2019-06-24_21:39:53 1561379993 314 324 0 0
2019-06-24_21:40:03 1561380003 315 325 0 0
2019-06-24_21:40:13 1561380013 316 326 0 0
2019-06-24_21:40:23 1561380023 317 327 0 0
2019-06-24_21:40:33 1561380033 318 328 0 0
2019-06-24_21:40:43 1561380043 319 329 0 0
2019-06-24_21:40:53 1561380053 320 330 0 0
2019-06-24_21:41:03 1561380063 321 331 0 0
2019-06-24_21:41:13 1561380073 322 332 0 0
2019-06-24_21:41:23 1561380083 323 333 0 0
2019-06-24_21:41:33 1561380093 324 334 0 0
2019-06-24_21:41:43 1561380103 325 335 0 0
2019-06-24_21:41:53 1561380113 326 336 0 0
2019-06-24_21:42:03 1561380123 327 337 0 0
2019-06-24_21:42:13 1561380133 328 338 0 0
2019-06-24_21:42:23 1561380143 329 339 0 0
2019-06-24_21:42:33 1561380153 330 340 0 0
2019-06-24_21:42:43 1561380163 331 341 0 0
2019-06-24_21:42:53 1561380173 332 342 0 0
2019-06-24_21:43:03 1561380183 333 343 0 0
2019-06-24_21:43:13 1561380193 334 344 0 0
2019-06-24_21:43:23 1561380203 335 345 0 0
2019-06-24_21:43:33 1561380213 336 346 0 0
2019-06-24_21:43:43 1561380223 337 347 0 0
2019-06-24_21:43:53 1561380233 338 348 0 0
2019-06-24_21:44:03 1561380243 339 349 0 0
2019-06-24_21:44:13 1561380253 340 350 0 0
2019-06-24_21:44:23 1561380263 341 351 0 0
2019-06-24_21:44:33 1561380273 342 352 0 0
2019-06-24_21:44:43 1561380283 343 353 0 0
2019-06-24_21:44:53 1561380293 344 354 0 0
2019-06-24_21:45:03 1561380303 345 355 0 0
2019-06-24_21:45:13 1561380313 346 356 0 0
2019-06-24_21:45:23 1561380323 347 357 0 0
2019-06-24_21:45:33 1561380333 348 358 0 0
2019-06-24_21:45:43 1561380343 349 359 0 0
2019-06-24_21:45:53 1561380353 350 360 0 0
2019-06-24_21:46:03 1561380363 351 361 0 0
2019-06-24_21:46:13 1561380373 352 362 0 0
2019-06-24_21:46:23 1561380383 353 363 0 0
2019-06-24_21:46:33 1561380393 354 364 0 0
2019-06-24_21:46:43 1561380403 355 365 0 0
2019-06-24_21:46:53 1561380413 356 366 0 0
2019-06-24_21:47:03 1561380423 357 367 0 0
2019-06-24_21:47:13 1561380433 358 368 0 0
2019-06-24_21:47:23 1561380443 359 369 0 0
2019-06-24_21:47:33 1561380453 360 370 0 0
2019-06-24_21:47:43 1561380463 361 371 0 0
2019-06-24_21:47:53 1561380473 362 372 0 0
2019-06-24_21:48:03 1561380483 363 373 0 0
2019-06-24_21:48:13 1561380493 364 374 0 0
2019-06-24_21:48:23 1561380503 365 375 0 0
2019-06-24_21:48:33 1561380513 366 376 0 0
2019-06-24_21:48:43 1561380523 367 377 0 0
2019-06-24_21:48:53 1561380533 368 378 0 0
2019-06-24_21:49:03 1561380543 369 379 0 0
2019-06-24_21:49:13 1561380553 370 380 0 0
2019-06-24_21:49:23 1561380563 371 381 0 0
2019-06-24_21:49:33 1561380573 372 382 0 0
2019-06-24_21:49:43 1561380583 373 383 0 0
2019-06-24_21:49:53 1561380593 374 384 0 0
2019-06-24_21:50:03 1561380603 375 385 0 0
2019-06-24_21:50:13 1561380613 376 386 0 0
2019-06-24_21:50:23 1561380623 377 387 0 0
2019-06-24_21:50:33 1561380633 378 388 0 0
2019-06-24_21:50:43 1561380643 379 389 0 0
2019-06-24_21:50:53 1561380653 380 390 0 0
2019-06-24_21:51:03 1561380663 381 391 0 0
2019-06-24_21:51:13 1561380673 382 392 0 0
2019-06-24_21:51:23 1561380683 383 393 0 0
2019-06-24_21:51:33 1561380693 384 394 0 0
2019-06-24_21:51:43 1561380703 385 395 0 0
2019-06-24_21:51:53 1561380713 386 396 0 0
2019-06-24_21:52:03 1561380723 387 397 0 0
2019-06-24_21:52:13 1561380733 388 398 0 0
2019-06-24_21:52:23 1561380743 389 399 0 0
2019-06-24_21:52:33 1561380753 390 400 0 0
2019-06-24_21:52:43 1561380763 391 401 0 0
2019-06-24_21:52:53 1561380773 392 402 0 0
2019-06-24_21:53:03 1561380783 393 403 0 0
2019-06-24_21:53:13 1561380793 394 404 0 0
2019-06-24_21:53:23 1561380803 395 405 0 0
2019-06-24_21:53:33 1561380813 396 406 0 0
2019-06-24_21:53:43 1561380823 397 407 0 0
2019-06-24_21:53:53 1561380833 398 408 0 0
2019-06-24_21:54:03 1561380843 399 409 0 0
2019-06-24_21:54:13 1561380853 400 410 0 0
2019-06-24_21:54:23 1561380863 401 411 0 0
2019-06-24_21:54:33 1561380873 402 412 0 0
2019-06-24_21:54:43 1561380883 403 413 0 0
2019-06-24_21:54:53 1561380893 404 414 0 0
2019-06-24_21:55:03 1561380903 405 415 0 0
2019-06-24_21:55:13 1561380913 406 416 0 0
2019-06-24_21:55:23 1561380923 407 417 0 0
2019-06-24_21:55:33 1561380933 408 418 0 0
2019-06-24_21:55:43 1561380943 409 419 0 0
2019-06-24_21:55:53 1561380953 410 420 0 0
2019-06-24_21:56:03 1561380963 411 421 0 0
2019-06-24_21:56:13 1561380973 412 422 0 0
2019-06-24_21:56:23 1561380983 413 423 0 0
2019-06-24_21:56:33 1561380993 414 424 0 0
2019-06-24_21:56:43 1561381003 415 425 0 0
2019-06-24_21:56:53 1561381013 416 426 0 0
2019-06-24_21:57:03 1561381023 417 427 0 0
2019-06-24_21:57:13 1561381033 418 428 0 0
2019-06-24_21:57:23 1561381043 419 429 0 0
2019-06-24_21:57:33 1561381053 420 430 0 0
2019-06-24_21:57:43 1561381063 421 431 0 0
2019-06-24_21:57:53 1561381073 422 432 0 0
2019-06-24_21:58:03 1561381083 423 433 0 0
2019-06-24_21:58:13 1561381093 424 434 0 0
2019-06-24_21:58:23 1561381103 425 435 0 0
2019-06-24_21:58:33 1561381113 426 436 0 0
2019-06-24_21:58:43 1561381123 427 437 0 0
2019-06-24_21:58:53 1561381133 428 438 0 0
2019-06-24_21:59:03 1561381143 429 439 0 0
2019-06-24_21:59:13 1561381153 430 440 0 0
2019-06-24_21:59:23 1561381163 431 441 0 0
2019-06-24_21:59:33 1561381173 432 442 0 0
2019-06-24_21:59:43 1561381183 433 443 0 0
2019-06-24_21:59:53 1561381193 434 444 0 0
2019-06-24_22:00:03 1561381203 435 445 0 0
2019-06-24_22:00:13 1561381213 436 446 0 0
2019-06-24_22:00:23 1561381223 437 447 0 0
2019-06-24_22:00:33 1561381233 438 448 0 0
2019-06-24_22:00:43 1561381243 439 449 0 0
2019-06-24_22:00:53 1561381253 440 450 0 0
2019-06-24_22:01:03 1561381263 441 451 0 0
2019-06-24_22:01:13 1561381273 442 452 0 0
2019-06-24_22:01:23 1561381283 443 453 0 0
2019-06-24_22:01:33 1561381293 444 454 0 0
2019-06-24_22:01:43 1561381303 445 455 0 0
2019-06-24_22:01:53 1561381313 446 456 0 0
2019-06-24_22:02:03 1561381323 447 457 0 0
2019-06-24_22:02:13 1561381333 448 458 0 0
2019-06-24_22:02:23 1561381343 449 459 0 0
2019-06-24_22:02:33 1561381353 450 460 0 0
2019-06-24_22:02:43 1561381363 451 461 0 0
2019-06-24_22:02:53 1561381373 452 462 0 0
2019-06-24_22:03:03 1561381383 453 463 0 0
2019-06-24_22:03:13 1561381393 454 464 0 0
2019-06-24_22:03:23 1561381403 455 465 0 0
2019-06-24_22:03:33 1561381413 456 466 0 0
2019-06-24_22:03:43 1561381423 457 467 0 0
2019-06-24_22:03:53 1561381433 458 468 0 0
2019-06-24_22:04:03 1561381443 459 469 0 0
2019-06-24_22:04:13 1561381453 460 470 0 0
2019-06-24_22:04:23 1561381463 461 471 0 0
2019-06-24_22:04:33 1561381473 462 472 0 0
2019-06-24_22:04:43 1561381483 463 473 0 0
2019-06-24_22:04:53 1561381493 464 474 0 0
2019-06-24_22:05:03 1561381503 465 475 0 0
2019-06-24_22:05:13 1561381513 466 476 0 0
2019-06-24_22:05:23 1561381523 467 477 0 0
2019-06-24_22:05:33 1561381533 468 478 0 0
2019-06-24_22:05:43 1561381543 469 479 0 0
2019-06-24_22:05:53 1561381553 470 480 0 0
2019-06-24_22:06:03 1561381563 471 481 0 0
2019-06-24_22:06:13 1561381573 472 482 0 0
2019-06-24_22:06:23 1561381583 473 483 0 0
2019-06-24_22:06:33 1561381593 474 484 0 0
2019-06-24_22:06:43 1561381603 475 485 0 0
2019-06-24_22:06:53 1561381613 476 486 0 0
2019-06-24_22:07:03 1561381623 477 487 0 0
2019-06-24_22:07:13 1561381633 478 488 0 0
2019-06-24_22:07:23 1561381643 479 489 0 0
2019-06-24_22:07:33 1561381653 480 490 0 0
2019-06-24_22:07:43 1561381663 481 491 0 0
2019-06-24_22:07:53 1561381673 482 492 0 0
2019-06-24_22:08:03 1561381683 483 493 0 0
2019-06-24_22:08:13 1561381693 484 494 0 0
2019-06-24_22:08:23 1561381703 485 495 0 0
2019-06-24_22:08:33 1561381713 486 496 0 0
2019-06-24_22:08:43 1561381723 487 497 0 0
2019-06-24_22:08:53 1561381733 488 498 0 0
2019-06-24_22:09:03 1561381743 489 499 0 0
2019-06-24_22:09:13 1561381753 490 500 0 0
2019-06-24_22:09:23 1561381763 491 501 0 0
2019-06-24_22:09:33 1561381773 492 502 0 0
2019-06-24_22:09:43 1561381783 493 503 0 0
2019-06-24_22:09:53 1561381793 494 504 0 0
2019-06-24_22:10:03 1561381803 495 505 0 0
2019-06-24_22:10:13 1561381813 496 506 0 0
2019-06-24_22:10:23 1561381823 497 507 0 0
2019-06-24_22:10:33 1561381833 498 508 0 0
2019-06-24_22:10:43 1561381843 499 509 0 0
2019-06-24_22:10:53 1561381853 500 510 0 0
2019-06-24_22:11:03 1561381863 501 511 0 0
2019-06-24_22:11:13 1561381873 502 512 0 0
2019-06-24_22:11:23 1561381883 503 513 0 0
2019-06-24_22:11:33 1561381893 504 514 0 0
2019-06-24_22:11:43 1561381903 505 515 0 0
2019-06-24_22:11:53 1561381913 506 516 0 0
2019-06-24_22:12:03 1561381923 507 517 0 0
2019-06-24_22:12:13 1561381933 508 518 0 0
2019-06-24_22:12:23 1561381943 509 519 0 0
2019-06-24_22:12:33 1561381953 510 520 0 0
2019-06-24_22:12:43 1561381963 511 521 0 0
2019-06-24_22:12:53 1561381973 512 522 0 0
2019-06-24_22:13:03 1561381983 513 523 0 0
2019-06-24_22:13:13 1561381993 514 524 0 0
2019-06-24_22:13:23 1561382003 515 525 0 0
2019-06-24_22:13:33 1561382013 516 526 0 0
2019-06-24_22:13:43 1561382023 517 527 0 0
2019-06-24_22:13:53 1561382033 518 528 0 0
2019-06-24_22:14:03 1561382043 519 529 0 0
2019-06-24_22:14:13 1561382053 520 530 0 0
2019-06-24_22:14:23 1561382063 521 531 0 0
2019-06-24_22:14:33 1561382073 522 532 0 0
2019-06-24_22:14:43 1561382083 523 533 0 0
2019-06-24_22:14:53 1561382093 524 534 0 0
2019-06-24_22:15:03 1561382103 525 535 0 0
2019-06-24_22:15:13 1561382113 526 536 0 0
2019-06-24_22:15:23 1561382123 527 537 0 0
2019-06-24_22:15:33 1561382133 528 538 0 0
2019-06-24_22:15:43 1561382143 529 539 0 0
2019-06-24_22:15:53 1561382153 530 540 0 0
2019-06-24_22:16:03 1561382163 531 541 0 0
2019-06-24_22:16:13 1561382173 532 542 0 0
2019-06-24_22:16:23 1561382183 533 543 0 0
2019-06-24_22:16:33 1561382193 534 544 0 0
2019-06-24_22:16:43 1561382203 535 545 0 0
2019-06-24_22:16:53 1561382213 536 546 0 0
2019-06-24_22:17:03 1561382223 537 547 0 0
2019-06-24_22:17:13 1561382233 538 548 0 0
2019-06-24_22:17:23 1561382243 539 549 0 0
2019-06-24_22:17:33 1561382253 540 550 0 0
2019-06-24_22:17:43 1561382263 541 551 0 0
2019-06-24_22:17:53 1561382273 542 552 0 0
2019-06-24_22:18:03 1561382283 543 553 0 0
2019-06-24_22:18:13 1561382293 544 554 0 0
